#1#4#	2.0
#1#4#10973#3#	5.75
#1#4#3041#3#	7.5
#1#4#7039#3#	7.0
#1#4#1228#3#	6.25
#1#4#1211#3#	10.75
#1#4#16110#2#	13.25
#1#4#2829#2#	13.5
#1#4#10401#2#	13.25
#1#4#4556#2#	13.25
#1#4#4454#2#	13.25
#1#4#4279#2#	13.25
#1#4#12034#2#	13.25
#1#4#12372#2#	14.75
#1#4#11727#2#	13.75
#1#4#7365#2#	13.25
#1#4#10978#2#	13.5
#1#4#1859#2#	13.25
#1#4#1228#2#	13.5
#1#4#10973#2#	14.25
#1#4#1211#2#	14.0
#1#4#4443#2#	13.25
#1#4#12643#2#	13.5
#1#4#7039#2#	15.5
#1#4#11985#2#	14.25
#1#4#3041#2#	14.75
